_init, 0804885c
FUN_08048880, 08048880
__snprintf_chk, 08048890
free, 080488a0
memcpy, 080488b0
fclose, 080488c0
time, 080488d0
memcmp, 080488e0
ctime, 080488f0
__stack_chk_fail, 08048900
fseek, 08048910
fopen64, 08048920
perror, 08048930
fwrite, 08048940
fread, 08048950
error, 08048960
getenv, 08048970
realloc, 08048980
malloc, 08048990
puts, 080489a0
__gmon_start__, 080489b0
exit, 080489c0
ftello64, 080489d0
localtime, 080489e0
strchr, 080489f0
strlen, 08048a00
__libc_start_main, 08048a10
memset, 08048a20
strncpy, 08048a30
__printf_chk, 08048a40
fputc, 08048a50
__memset_chk, 08048a60
__fprintf_chk, 08048a70
strncmp, 08048a80
abort, 08048a90
strtol, 08048aa0
fputs, 08048ab0
__ctype_b_loc, 08048ac0
calloc, 08048ad0
__sprintf_chk, 08048ae0
main, 08048af0
_start, 08048e17
__x86.get_pc_thunk.bx, 08048e40
deregister_tm_clones, 08048e50
register_tm_clones, 08048e80
__do_global_dtors_aux, 08048ec0
frame_dummy, 08048ee0
give_usage, 08048f10
update_system_time, 08048f30
do_statistics, 08048fa0
update_user_time, 08049160
log_everyone_out, 080492a0
log_in, 08049360
log_out, 080494e0
midnight_after_me, 080495c0
do_totals, 08049670
parse_entries, 080497b0
fatal, 08049d00
file_open, 08049d30
print_wtmp_file_location, 08049e00
print_acct_file_location, 08049e20
print_acct_file_locations, 08049e40
file_reader_init, 08049e90
file_reader_add_file, 08049ef0
file_reader_get_entry, 08049f40
file_reader_print_file_and_line, 0804a1e0
get_key_len, 0804a220
hashtab_next, 0804a2c0
hashtab_init, 0804a310
hashtab_create, 0804a340
hashtab_find, 0804a5e0
hashtab_get_key, 0804a690
hashtab_get_value, 0804a6a0
hashtab_set_value, 0804a6b0
hashtab_first, 0804a6f0
hashtab_next, 0804a710
hashtab_dump_keys, 0804a740
hashtab_delete, 0804a7c0
utmp_init, 0804a830
add_utmp_file, 0804a850
utmp_get_entry, 0804a870
print_utmp_record, 0804a890
utmp_print_file_and_line, 0804a9e0
fix_ut_type_field, 0804aa00
bad_utmp_record, 0804aca0
exchange, 0804acb0
_getopt_internal_r, 0804ada0
rpl_getopt_internal, 0804b9d0
rpl_getopt, 0804ba50
rpl_getopt_long, 0804ba80
_getopt_long_r, 0804bac0
rpl_getopt_long_only, 0804bb00
_getopt_long_only_r, 0804bb40
ranged_convert, 0804bb80
guess_time_tm, 0804bc40
mktime_internal, 0804bd80
rpl_mktime, 0804c2c0
xmalloc, 0804c2f0
xrealloc, 0804c320
x2realloc, 0804c360
xzalloc, 0804c3b0
xcalloc, 0804c3e0
xmemdup, 0804c410
xstrdup, 0804c440
xalloc_die, 0804c470
__divdi3, 0804c4b0
__libc_csu_init, 0804c680
__libc_csu_fini, 0804c6f0
__stack_chk_fail_local, 0804c700
_fini, 0804c714
__snprintf_chk, 08051000
free, 08051004
memcpy, 08051008
fclose, 0805100c
time, 08051010
memcmp, 08051014
ctime, 08051018
__stack_chk_fail, 0805101c
localtime_r, 08051020
fseek, 08051024
fopen64, 08051028
perror, 0805102c
fwrite, 08051030
fread, 08051034
error, 08051038
getenv, 0805103c
realloc, 08051040
malloc, 08051044
puts, 08051048
__gmon_start__, 0805104c
exit, 08051050
ftello64, 08051054
localtime, 08051058
strchr, 0805105c
strlen, 08051060
__libc_start_main, 08051064
memset, 08051068
strncpy, 0805106c
__printf_chk, 08051070
fputc, 08051074
__memset_chk, 08051078
__fprintf_chk, 0805107c
strncmp, 08051080
abort, 08051084
strtol, 08051088
fputs, 0805108c
__ctype_b_loc, 08051090
calloc, 08051094
__sprintf_chk, 08051098
